epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,20311.7,1.60401,1.90079,1.63244,0.60361,0.4092,0.43914,0.23268,1.77797,1.88281,1.78328,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,20941.6,1.59042,1.88256,1.6173,0.59614,0.4149,0.44368,0.23696,1.76637,1.86712,1.76456,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,21561,1.58292,1.8636,1.61215,0.59945,0.41659,0.44496,0.2396,1.75715,1.85283,1.75891,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,22185.1,1.57024,1.82281,1.59673,0.59576,0.41521,0.44705,0.23914,1.758,1.84335,1.75308,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,22808.3,1.55995,1.81277,1.59552,0.59947,0.41599,0.45083,0.24449,1.75397,1.83067,1.75054,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,23441.6,1.5463,1.78562,1.58218,0.61296,0.41973,0.45461,0.24765,1.7416,1.82165,1.74341,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,24074.2,1.53955,1.79657,1.58539,0.59545,0.41864,0.45548,0.24986,1.74121,1.80894,1.7424,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,24715.8,1.53516,1.74649,1.56804,0.59864,0.41923,0.45597,0.25067,1.74177,1.79652,1.7398,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,25354.3,1.52288,1.71834,1.56088,0.59986,0.4217,0.45934,0.25304,1.7345,1.78565,1.73228,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,25970.6,1.58361,1.60391,1.62309,0.58475,0.42449,0.45836,0.25497,1.72476,1.78644,1.72951,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,26591,1.55201,1.55679,1.60167,0.59607,0.42634,0.45988,0.25655,1.71922,1.78079,1.72726,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,27204.2,1.53504,1.51021,1.58792,0.5865,0.43245,0.46103,0.25825,1.72105,1.78063,1.73029,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,27814,1.50651,1.48215,1.56806,0.5927,0.43056,0.46287,0.26008,1.71891,1.77412,1.7278,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,28423.1,1.49054,1.45511,1.55175,0.60335,0.42629,0.46238,0.26161,1.72011,1.77328,1.73092,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,29036.9,1.47334,1.41811,1.54051,0.61033,0.42345,0.46275,0.26288,1.71777,1.76757,1.73094,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,29641.1,1.45672,1.38943,1.52424,0.62465,0.42239,0.46415,0.26449,1.71718,1.76237,1.72915,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,30255,1.44095,1.35755,1.51151,0.6289,0.42168,0.4632,0.26524,1.71789,1.75958,1.73006,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30849.7,1.43016,1.33754,1.49838,0.62214,0.42541,0.46434,0.26544,1.71779,1.75645,1.72943,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,31443.3,1.41275,1.32253,1.48945,0.62143,0.42898,0.46385,0.26633,1.71666,1.75354,1.72887,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
